short reference,DOI,authors,title,journal,year
"ZHANG, 2018",https://doi.org/10.1016/j.epsl.2018.02.040,"ZHANG, G-L; LUO, Q; ZHAO, J-X; JACKSON, M G; GUO, L-S; ZHONG, L-F",GEOCHEMICAL NATURE OF SUB-RIDGE MANTLE AND OPENING DYNAMICS OF THE SOUTH CHINA SEA,EARTH AND PLANETARY SCIENCE LETTERS,2018
"ZHANG, 2018",https://doi.org/10.1007/s11802-018-3223-5,"ZHANG, W; ZENG, Z-G; CUI, L; YIN, X-B",GEOCHEMICAL CONSTRAINS ON MORB COMPOSITION AND MAGMA SOURCES AT EAST PACIFIC RISE BETWEEN 1°S AND 2°S,JOURNAL OF OCEAN UNIVERSITY OF CHINA,2018
"ZHANG, 2012",https://doi.org/10.1016/j.lithos.2012.04.014,"ZHANG, G-L; SMITH-DUQUE, C; TANG, S; LI, H; ZARIKIAN, C; DHONDT, S; INAGAKI, F",GEOCHEMISTRY OF BASALTS FROM IODP SITE U1365: IMPLICATIONS FOR MAGMATISM AND MANTLE SOURCE SIGNATURES OF THE MID-CRETACEOUS OSBOURN TROUGH,LITHOS,2012
"ZHANG, 2012",https://doi.org/10.1016/j.chemgeo.2012.07.010,"ZHANG, MIN; YANG, J-H; SUN, J; WU, F-Y; ZHANG, MING",JUVENILE SUBCONTINENTAL LITHOSPHERIC MANTLE BENEATH THE EASTERN PART OF THE CENTRAL ASIAN OROGENIC BELT,CHEMICAL GEOLOGY,2012
"ZHANG, 2012",https://doi.org/10.1016/j.chemgeo.2012.08.033,"ZHANG, G-L; ZONG, C-L; YIN, X-B; LI, H",GEOCHEMICAL CONSTRAINTS ON A MIXED PYROXENITE-PERIDOTITE SOURCE FOR EAST PACIFIC RISE BASALTS,CHEMICAL GEOLOGY,2012
"DOWNES, 2004",https://doi.org/10.1016/j.lithos.2003.12.013,"DOWNES, H; BEARD, A; HINTON, R",NATURAL EXPERIMENTAL CHARGES: AN ION-MICROPROBE STUDY OF TRACE ELEMENT DISTRIBUTION COEFFICIENTS IN GLASS-RICH HONBLENDEITE AND CLINOPYROXENITE XENOLITHS,LITHOS,2004
"DOWNES, 2004",https://doi.org/10.1093/petrology/egh027,"DOWNES, H; MACDONALD, R; UPTON, B G J; COX, K G; BODINIER, J-L; MASON, P R D; JAMES, D E; HILL, P G; HEARN, JR., B C","ULTRAMAFIC INCLUSIONS FROM THE BEARPAW MOUNTAINS, MONTANA, USA:  EVIDENCE FOR MULTIPLE METASOMATIC EVENTS IN THE LITHOSPHERIC MANTLE BENEATH THE WYOMING CRATON",J PETROL,2004
"JACKSON, 2017",https://doi.org/10.1016/j.chemgeo.2016.10.038,"JACKSON, M G; PRICE, A A ; BLICHERT-TOFT, J; KURZ, M D; REINHARD, A","GEOCHEMISTRY OF LAVAS FROM THE CAROLINE HOTSPOT, MICRONESIA: EVIDENCE FOR PRIMITIVE AND RECYCLED COMPONENTS IN THE MANTLE SOURCES OF LAVAS WITH MODERATELY ELEVATED  3 HE/ 4 HE",CHEMICAL GEOLOGY,2017
"MILLER, 2004",https://doi.org/10.2973/odp.proc.sr.187.206.2004,"MILLER, D J; KELLEY, J",LOW-TEMPERATURE ALTERATION OF BASALT OVER TIME:  A SYNTHESIS OF RESULTS FROM OCEAN DRILLING PROGRAM LEG 187,"PROC ODP, SCI RESULTS",2004
"MEFFRE, 2012",https://doi.org/10.1029/2012gc004335,"MEFFRE, S; FALLOON, T J; CRAWFORD, A J; HOERNLE, K; HAUFF, F; DUNCAN, R A; BLOOMER, S H; WRIGHT, D J",BASALTS ERUPTED ALONG THE TONGAN FORE ARC DURING SUBDUCTION INITIATION: EVIDENCE FROM GEOCHRONOLOGY OF DREDGED ROCKS FROM THE TONGA FORE ARC AND TRENCH,GEOCHEM GEOPHYS GEOSYST,2012
